"date","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
2025-06-02,200.279998779297,202.130004882812,200.119995117188,201.699996948242,35423300,200.902969360352
2025-06-03,201.350006103516,203.770004272461,200.960006713867,203.270004272461,46381600,202.466781616211
2025-06-04,202.910003662109,206.240005493164,202.100006103516,202.820007324219,43604000,202.0185546875
2025-06-05,203.5,204.75,200.149993896484,200.630004882812,55126100,199.837203979492
2025-06-06,203,205.699996948242,202.050003051758,203.919998168945,46607700,203.114196777344
2025-06-09,204.389999389648,206,200.020004272461,201.449996948242,72862600,200.653961181641
2025-06-10,200.600006103516,204.350006103516,200.570007324219,202.669998168945,54672600,201.869140625
2025-06-11,203.5,204.5,198.410003662109,198.779998779297,60989900,197.994506835938
2025-06-12,199.080001831055,199.679992675781,197.360000610352,199.199996948242,43904600,198.412857055664
2025-06-13,199.729995727539,200.369995117188,195.699996948242,196.449996948242,51447300,195.673721313477
2025-06-16,197.300003051758,198.690002441406,196.559997558594,198.419998168945,43020700,197.635925292969
2025-06-17,197.199996948242,198.389999389648,195.210006713867,195.639999389648,38856200,194.866912841797
2025-06-18,195.940002441406,197.570007324219,195.070007324219,196.580001831055,45394700,195.803207397461
2025-06-20,198.240005493164,201.699996948242,196.860000610352,201,96813500,200.205749511719
2025-06-23,201.630004882812,202.300003051758,198.960006713867,201.5,55814300,200.703765869141
2025-06-24,202.589996337891,203.440002441406,200.199996948242,200.300003051758,54064000,199.508514404297
2025-06-25,201.449996948242,203.669998168945,200.619995117188,201.559997558594,39525700,200.763534545898
2025-06-26,201.429992675781,202.639999389648,199.460006713867,201,50799100,200.205749511719
2025-06-27,201.889999389648,203.220001220703,200,201.080001831055,73188600,200.285415649414
2025-06-30,202.009994506836,207.389999389648,199.259994506836,205.169998168945,91912800,204.359252929688
2025-07-01,206.669998168945,210.190002441406,206.139999389648,207.820007324219,78788900,206.998794555664
2025-07-02,208.910003662109,213.339996337891,208.139999389648,212.440002441406,67941800,211.600540161133
2025-07-03,212.149993896484,214.649993896484,211.809997558594,213.550003051758,34955800,212.706161499023
2025-07-07,212.679992675781,216.229995727539,208.800003051758,209.949996948242,50229000,209.120376586914
2025-07-08,210.100006103516,211.429992675781,208.449996948242,210.009994506836,42848900,209.180114746094
2025-07-09,209.529998779297,211.330001831055,207.220001220703,211.139999389648,48749400,210.3056640625
2025-07-10,210.509994506836,213.479995727539,210.029998779297,212.410003662109,44443600,211.570663452148
2025-07-11,210.570007324219,212.130004882812,209.860000610352,211.160003662109,39765800,210.325592041016
2025-07-14,209.929992675781,210.910003662109,207.539993286133,208.619995117188,38840100,207.795608520508
2025-07-15,209.220001220703,211.889999389648,208.919998168945,209.110000610352,42296300,208.28369140625
2025-07-16,210.300003051758,212.399993896484,208.639999389648,210.160003662109,47490500,209.329544067383
2025-07-17,210.570007324219,211.800003051758,209.589996337891,210.020004272461,48068100,209.19010925293
2025-07-18,210.869995117188,211.789993286133,209.699996948242,211.179992675781,48974600,210.345504760742
2025-07-21,212.100006103516,215.779998779297,211.630004882812,212.479995727539,51377400,211.640380859375
2025-07-22,213.139999389648,214.949996948242,212.229995727539,214.399993896484,46404100,213.552780151367
2025-07-23,215,215.149993896484,212.410003662109,214.149993896484,46989300,213.303787231445
2025-07-24,213.899993896484,215.690002441406,213.529998779297,213.759994506836,46022600,212.915298461914
2025-07-25,214.699996948242,215.240005493164,213.399993896484,213.880004882812,40268800,213.034851074219
2025-07-28,214.029998779297,214.850006103516,213.059997558594,214.050003051758,37858000,213.204193115234
2025-07-29,214.179992675781,214.809997558594,210.820007324219,211.270004272461,51411700,210.435150146484
2025-07-30,211.899993896484,212.389999389648,207.720001220703,209.050003051758,45512500,208.223922729492
2025-07-31,208.490005493164,209.839996337891,207.160003662109,207.570007324219,80698400,206.749786376953
2025-08-01,210.869995117188,213.580001831055,201.5,202.380004882812,104434500,201.580307006836
2025-08-04,204.509994506836,207.880004882812,201.679992675781,203.350006103516,75109300,202.546463012695
2025-08-05,203.399993896484,205.339996337891,202.160003662109,202.919998168945,44155100,202.1181640625
2025-08-06,205.630004882812,215.380004882812,205.589996337891,213.25,108483100,212.407348632812
2025-08-07,218.880004882812,220.850006103516,216.580001831055,220.029998779297,90224800,219.160537719727
2025-08-08,220.830001831055,231,219.25,229.350006103516,113854000,228.443725585938
2025-08-11,227.919998168945,229.559997558594,224.759994506836,227.179992675781,61806100,226.539093017578
2025-08-12,228.009994506836,230.800003051758,227.070007324219,229.649993896484,55626200,229.002136230469
2025-08-13,231.070007324219,235,230.429992675781,233.330001831055,69878500,232.671752929688
2025-08-14,234.059997558594,235.119995117188,230.850006103516,232.779998779297,51916300,232.123306274414
2025-08-15,234,234.279998779297,229.339996337891,231.589996337891,56038700,230.936660766602
2025-08-18,231.699996948242,233.119995117188,230.110000610352,230.889999389648,37476200,230.238632202148
2025-08-19,231.279998779297,232.869995117188,229.350006103516,230.559997558594,39402600,229.909561157227
2025-08-20,229.979995727539,230.470001220703,225.770004272461,226.009994506836,42263900,225.37239074707
2025-08-21,226.270004272461,226.520004272461,223.779998779297,224.899993896484,30621200,224.265518188477
2025-08-22,226.169998168945,229.089996337891,225.410003662109,227.759994506836,42477800,227.117462158203
2025-08-25,226.479995727539,229.300003051758,226.229995727539,227.160003662109,30983100,226.519165039062
2025-08-26,226.869995117188,229.490005493164,224.690002441406,229.309997558594,54575100,228.6630859375
2025-08-27,228.610000610352,230.899993896484,228.259994506836,230.490005493164,31259500,229.839782714844
2025-08-28,230.820007324219,233.410003662109,229.339996337891,232.559997558594,38074700,231.903915405273
2025-08-29,232.509994506836,233.380004882812,231.369995117188,232.139999389648,39418400,231.485107421875
2025-09-02,229.25,230.850006103516,226.970001220703,229.720001220703,44075600,229.071929931641
2025-09-03,237.210006713867,238.850006103516,234.360000610352,238.470001220703,66427800,237.797256469727
2025-09-04,238.449996948242,239.899993896484,236.740005493164,239.779998779297,47549400,239.103530883789
