"date","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
2025-06-02,204.979995727539,207,202.679992675781,206.649993896484,29113300,206.649993896484
2025-06-03,207.110000610352,208.949996948242,205.029998779297,205.710006713867,33139100,205.710006713867
2025-06-04,206.550003051758,208.179992675781,205.179992675781,207.229995727539,29915600,207.229995727539
2025-06-05,209.550003051758,212.809997558594,207.559997558594,207.910003662109,51864200,207.910003662109
2025-06-06,212.399993896484,213.869995117188,210.5,213.570007324219,39832500,213.570007324219
2025-06-09,214.75,217.850006103516,212.880004882812,216.979995727539,38102500,216.979995727539
2025-06-10,216.779998779297,217.690002441406,214.149993896484,217.610000610352,31303300,217.610000610352
2025-06-11,217.410003662109,218.399993896484,212.889999389648,213.199996948242,39326000,213.199996948242
2025-06-12,211.779998779297,213.580001831055,211.330001831055,213.240005493164,27640000,213.240005493164
2025-06-13,209.960006713867,214.050003051758,209.619995117188,212.100006103516,29337800,212.100006103516
2025-06-16,212.309997558594,217.059997558594,211.600006103516,216.100006103516,33284200,216.100006103516
2025-06-17,215.199996948242,217.410003662109,214.559997558594,214.820007324219,32086300,214.820007324219
2025-06-18,215.089996337891,217.960006713867,212.339996337891,212.520004272461,44360500,212.520004272461
2025-06-20,214.679992675781,214.889999389648,208.270004272461,209.690002441406,75350700,209.690002441406
2025-06-23,209.789993286133,210.389999389648,207.309997558594,208.470001220703,37311700,208.470001220703
2025-06-24,212.139999389648,214.339996337891,211.050003051758,212.770004272461,38378800,212.770004272461
2025-06-25,214.619995117188,216.029998779297,211.110000610352,211.990005493164,31755700,211.990005493164
2025-06-26,213.119995117188,218.039993286133,212.009994506836,217.119995117188,50480800,217.119995117188
2025-06-27,219.919998168945,223.300003051758,216.740005493164,223.300003051758,119217100,223.300003051758
2025-06-30,223.520004272461,223.820007324219,219.119995117188,219.389999389648,58887800,219.389999389648
2025-07-01,219.5,221.880004882812,217.929992675781,220.460006713867,39256800,220.460006713867
2025-07-02,219.729995727539,221.600006103516,219.059997558594,219.919998168945,30894200,219.919998168945
2025-07-03,221.820007324219,224.009994506836,221.360000610352,223.410003662109,29632400,223.410003662109
2025-07-07,223,224.289993286133,222.369995117188,223.470001220703,36604100,223.470001220703
2025-07-08,223.919998168945,224,218.429992675781,219.360000610352,45692000,219.360000610352
2025-07-09,221.070007324219,224.289993286133,220.470001220703,222.539993286133,38155100,222.539993286133
2025-07-10,221.550003051758,222.789993286133,219.699996948242,222.259994506836,30370600,222.259994506836
2025-07-11,223.580001831055,226.679992675781,222.369995117188,225.020004272461,50518300,225.020004272461
2025-07-14,225.070007324219,226.660003662109,224.240005493164,225.690002441406,35702600,225.690002441406
