"date","NVDA.Open","NVDA.High","NVDA.Low","NVDA.Close","NVDA.Volume","NVDA.Adjusted"
2025-06-02,135.490005493164,138.119995117188,135.399993896484,137.380004882812,197663100,137.187744140625
2025-06-03,138.779998779297,142,137.949996948242,141.220001220703,225578800,141.022354125977
2025-06-04,142.190002441406,142.389999389648,139.539993286133,141.919998168945,167120800,141.721389770508
2025-06-05,142.169998168945,144,138.830001831055,139.990005493164,231397900,139.794097900391
2025-06-06,142.509994506836,143.270004272461,141.509994506836,141.720001220703,153986200,141.52165222168
2025-06-09,143.190002441406,145,141.940002441406,142.630004882812,185114500,142.430404663086
2025-06-10,142.690002441406,144.289993286133,141.529998779297,143.960006713867,155881900,143.758529663086
2025-06-11,144.610000610352,144.990005493164,141.869995117188,142.830001831055,167694000,142.640014648438
2025-06-12,141.970001220703,145,141.850006103516,145,162365000,144.80712890625
2025-06-13,142.479995727539,143.580001831055,140.850006103516,141.970001220703,180820600,141.781158447266
2025-06-16,143.350006103516,146.179992675781,143.199996948242,144.690002441406,183133700,144.497543334961
2025-06-17,144.490005493164,145.220001220703,143.779998779297,144.119995117188,139108000,143.928283691406
2025-06-18,144.009994506836,145.649993896484,143.119995117188,145.479995727539,161494100,145.286483764648
2025-06-20,145.449996948242,146.199996948242,142.649993896484,143.850006103516,242956200,143.658660888672
2025-06-23,142.5,144.779998779297,142.029998779297,144.169998168945,154308900,143.978240966797
2025-06-24,145.559997558594,147.960006713867,145.5,147.899993896484,187566100,147.703247070312
2025-06-25,149.270004272461,154.449996948242,149.259994506836,154.309997558594,269146500,154.104751586914
2025-06-26,155.979995727539,156.720001220703,154,155.020004272461,198145700,154.81379699707
2025-06-27,156.039993286133,158.710006713867,155.259994506836,157.75,263234500,157.540176391602
2025-06-30,158.399993896484,158.660003662109,155.960006713867,157.990005493164,194580300,157.779861450195
2025-07-01,156.289993286133,157.199996948242,151.490005493164,153.300003051758,213143600,153.096099853516
2025-07-02,152.979995727539,157.600006103516,152.970001220703,157.25,171224100,157.040832519531
2025-07-03,158.369995117188,160.979995727539,157.770004272461,159.339996337891,143716100,159.128051757812
2025-07-07,158.199996948242,159.309997558594,157.339996337891,158.240005493164,140139000,158.029525756836
2025-07-08,159.330001831055,160.220001220703,158.389999389648,160,138133000,159.787185668945
2025-07-09,161.220001220703,164.419998168945,161.160003662109,162.880004882812,183656400,162.663345336914
2025-07-10,164.320007324219,164.5,161.610000610352,164.100006103516,167704100,163.881729125977
2025-07-11,163.720001220703,167.889999389648,163.470001220703,164.919998168945,193633300,164.700637817383
2025-07-14,165.369995117188,165.490005493164,162.020004272461,164.070007324219,136975800,163.851776123047
2025-07-15,171.190002441406,172.399993896484,169.199996948242,170.699996948242,230627400,170.472946166992
2025-07-16,171.059997558594,171.75,168.899993896484,171.369995117188,158831500,171.142059326172
2025-07-17,172.020004272461,174.160003662109,170.830001831055,173,160841100,172.769897460938
2025-07-18,173.639999389648,174.25,171.259994506836,172.410003662109,146456400,172.180694580078
2025-07-21,172.75,173.380004882812,171,171.380004882812,123126100,171.152053833008
2025-07-22,171.339996337891,171.389999389648,164.580001831055,167.029998779297,193114300,166.807846069336
2025-07-23,169.529998779297,171.259994506836,167.970001220703,170.779998779297,154082200,170.552841186523
2025-07-24,172.440002441406,173.830001831055,171.300003051758,173.740005493164,128984600,173.508911132812
2025-07-25,173.610000610352,174.720001220703,172.960006713867,173.5,122316800,173.269226074219
2025-07-28,174.020004272461,177,173.970001220703,176.75,140023500,176.514892578125
2025-07-29,177.960006713867,179.380004882812,175.020004272461,175.509994506836,154077500,175.276550292969
2025-07-30,176.509994506836,179.889999389648,176.039993286133,179.270004272461,174312200,179.031555175781
2025-07-31,182.899993896484,183.300003051758,175.929992675781,177.869995117188,221685400,177.633407592773
2025-08-01,174.089996337891,176.539993286133,170.889999389648,173.720001220703,204529000,173.48893737793
2025-08-04,175.160003662109,180.199996948242,174.520004272461,180,148174600,179.760589599609
2025-08-05,179.619995117188,180.259994506836,175.899993896484,178.259994506836,156407600,178.022888183594
2025-08-06,176.330001831055,179.899993896484,176.25,179.419998168945,137192300,179.181350708008
2025-08-07,181.570007324219,183.880004882812,178.800003051758,180.770004272461,151878400,180.529556274414
